Platform,Date ,Day,Time,Meal,Restaurant,City,Type,Food1,Quantity1,Food2,Quantity2,Price,Mode of Payment
Swiggy,11/11/24,Monday,11:53,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,262,UPI
Swiggy,12/19/24,Thursday,20:59,Midnight Snack,Belgian Waffle Co.,Nellore,Dessert,Waffle,1,,,224,UPI
Swiggy,1/2/25,Thursday,17:37,Snack,The Nomads Cafe,Bhilai,"Chinesse,American",Soup,1,Fries,1,156,UPI
Swiggy,1/3/25,Friday,22:07,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Swiggy,1/11/25,Saturday,20:03,Dinner,Real Momo,Bhilai,"American,Chinesse",Fries,1,Noodles,1,193,UPI
Swiggy,1/14/25,Tuesday,14:15,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Swiggy,1/16/25,Thursday,21:30,Lunch,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,281,UPI
Swiggy,1/16/25,Thursday,14:53,Lunch,Kaaram Podi,Bhilai,South Indian,Tomato Rice,1,Dosa,1,194,UPI
Swiggy,1/17/25,Friday,21:37,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,268,UPI
Swiggy,1/21/25,Tuesday,21:50,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Swiggy,1/23/25,Thursday,22:57,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,281,UPI
Swiggy,1/31/25,Friday,22:36,Dinner,L Pino'z,Bhilai,Italian,Pasta,1,,,189,UPI
