Platform,Date ,Day,Time,Meal,Restaurant,City,Type,Food1,Quantity1,Food2,Quantity2,Price,Mode of Payment
Zomato,11/18/24,Monday,20:50,Dinner,Idli&Dosa Junction,Bhilai,South Indian,Idly,1,Dosa,1,139,UPI
Zomato,11/22/24,Friday,22:20,Dinner,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,11/24/24,Sunday,13:06,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Garlic Bread,1,180,UPI
Zomato,11/25/24,Monday,14:09,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,11/27/24,Wednesday,12:30,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,11/27/24,Wednesday,20:19,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,263,UPI
Zomato,11/28/24,Thursday,18:12,Snack,Belgian Waffle Co.,Bhilai,American,Waffle,1,,,206,UPI
Zomato,11/29/24,Friday,7:02,Dinner,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,238,UPI
Zomato,11/30/24,Saturday,22:16,Dinner,The Nomads Cafe,Bhilai,North Indian,Fried Rice,1,,,174,UPI
Zomato,12/2/24,Monday,15:46,Snack,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,12/2/24,Monday,20:28,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,243,UPI
Zomato,12/3/24,Tuesday,18:47,Dinner,Tiffins By The 90s Cafe,Bhilai,North Indian,Rice Bowl,1,,,177,UPI
Zomato,12/5/24,Thursday,14:53,Lunch,The Nomads Cafe,Bhilai,American,Burger,1,Fries,1,159,UPI
Zomato,12/6/24,Friday,19:33,Dinner,LunchBox,Bhilai,North Indian,Rice Bowl,1,,,184,UPI
Zomato,12/11/24,Wednesday,18:01,Snack,A1 Restaurant,Nellore,North Indian,Manchurian,1,Crispy Corn,1,292,UPI
Zomato,1/6/25,Monday,13:16,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,264,UPI
Zomato,1/8/25,Wednesday,21:03,Dinner,90s Cafe,Bhilai,Italian,Pasta,1,,,199,UPI
Zomato,1/9/25,Thursday,14:23,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,264,UPI
Zomato,1/19/25,Sunday,19:37,Dinner,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,282,UPI
Zomato,2/4/25,Tuesday,13:58,Lunch,Haldiram's,Bhilai,North Indian,Rice Bowl,1,Chaat,1,282,UPI
Zomato,2/10/25,Monday,20:49,Dinner,Haldiram's,Bhilai,"North Indian,American",Rice Bowl,1,Fries,1,282,UPI
Zomato,2/11/25,Tuesday,11:41,Lunch,90s Cafe,Bhilai,"American, Italian",Garlic Bread,1,Pasta,1,299,UPI
